ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5630.0199       429.9407         0.0000         0.0000       917.5896          -4282.4896       291.5102     -5200.0792     -4280.9498       299.3350            415.0814       434.0243     22655.3636      -195.2280      -195.3143
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5677.2045       429.4000         0.0000         0.0000       920.7459          -4327.0586       292.5129     -5247.8045     -4324.8530       296.9092            461.1956       495.8148     22300.8133      -249.7917      -249.7276
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5516.7593       335.4006         0.0000         0.0000       952.2953          -4229.0634       302.5358     -5181.3587     -4225.7341       299.7625           -704.9054      -681.4432     22395.2651      -206.7758      -206.6235
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5619.1150       414.5218         0.0000         0.0000       945.2993          -4259.2939       300.3133     -5204.5931     -4255.6716       298.9337             43.7022        67.9074     22801.8426      -256.2138      -256.1034
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5591.6232       384.0052         0.0000         0.0000       938.3554          -4269.2626       298.1073     -5207.6180     -4267.7784       299.8820           -619.3031      -577.5398     22864.1919      -228.7016      -228.4998
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5588.4655       393.0094         0.0000         0.0000       916.2660          -4279.1901       291.0897     -5195.4561     -4276.6049       300.6592           -426.0918      -417.7581     22787.9552      -247.4739      -247.5796
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5598.1141       385.4658         0.0000         0.0000       953.4293          -4259.2190       302.8961     -5212.6483     -4257.2406       301.6360           -135.9162      -121.0892     22697.3735      -181.9977      -182.1222
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5647.5647       394.9399         0.0000         0.0000       909.9130          -4342.7118       289.0714     -5252.6248     -4340.4189       295.1823           -266.8978      -236.9178     22424.8729      -204.9021      -204.8384
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5524.2043       336.3575         0.0000         0.0000       949.2449          -4238.6018       301.5668     -5187.8468     -4235.9633       294.5806           -493.3506      -474.5721     22622.1346      -221.4762      -221.6100
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5611.4777       405.0432         0.0000         0.0000       905.0076          -4301.4268       287.5130     -5206.4344     -4300.0430       298.7350            -28.9002        -6.7801     22412.7705      -185.5137      -185.5494
